LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,LowQualFinSF,GrLivArea,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,TotalSF,Age,RemodAge,GarageAge
115.0,16905,0.0,967.0,0.0,383.0,1350.0,1328,0,1328,308.0,0,104,0,0,0,0,0,2678.0,60,60,60.0
67.0,9180,0.0,747.0,93.0,0.0,840.0,884,0,884,504.0,240,0,0,0,0,0,0,1724.0,36,36,36.0
70.0,9200,0.0,280.0,491.0,167.0,938.0,938,0,938,308.0,145,0,0,0,0,0,0,1876.0,44,39,42.0
70.0,7945,0.0,179.0,506.0,465.0,1150.0,1150,0,1150,300.0,0,0,0,0,0,0,0,2300.0,60,60,60.0
61.0,7658,412.0,456.0,0.0,1296.0,1752.0,1752,0,1752,576.0,196,82,0,0,0,0,0,3504.0,14,14,14.0
48.0,12822,0.0,1351.0,0.0,83.0,1434.0,1518,0,2149,670.0,168,43,0,0,198,0,0,3583.0,16,16,16.0
84.0,11096,0.0,24.0,0.0,1632.0,1656.0,1656,0,1656,826.0,0,146,0,0,0,0,0,3312.0,13,13,13.0
33.0,4456,0.0,0.0,0.0,736.0,736.0,736,0,1452,0.0,0,0,102,0,0,0,0,2188.0,99,11,2019.0
66.0,7742,0.0,763.0,0.0,192.0,955.0,955,0,955,386.0,0,0,0,0,0,0,0,1910.0,53,53,53.0
64.0,13869,0.0,182.0,0.0,612.0,794.0,794,0,1470,388.0,0,75,0,0,0,0,0,2264.0,22,22,22.0
52.0,6240,0.0,0.0,0.0,816.0,816.0,816,360,1176,528.0,112,0,0,0,0,0,400,1632.0,85,69,34.0
110.0,8472,0.0,104.0,712.0,0.0,816.0,816,0,816,516.0,106,0,0,0,0,0,0,1632.0,56,56,56.0
68.0,50271,0.0,1810.0,0.0,32.0,1842.0,1842,0,1842,894.0,857,72,0,0,0,0,0,3684.0,38,32,38.0
60.0,7134,0.0,384.0,0.0,0.0,384.0,1360,0,1360,572.0,0,50,0,0,0,0,0,1744.0,64,64,57.0
100.0,10175,272.0,490.0,0.0,935.0,1425.0,1425,0,1425,576.0,0,0,0,407,0,0,0,2850.0,55,55,55.0
24.0,2645,456.0,649.0,0.0,321.0,970.0,983,0,1739,480.0,115,0,0,0,0,0,0,2709.0,20,19,20.0
89.0,11645,0.0,0.0,0.0,860.0,860.0,860,0,1720,565.0,0,70,0,0,0,0,0,2580.0,15,15,15.0
66.0,13682,1031.0,0.0,0.0,1410.0,1410.0,1426,0,2945,641.0,192,0,37,0,0,0,0,4355.0,13,13,13.0
60.0,7200,0.0,632.0,0.0,148.0,780.0,780,0,780,352.0,196,0,0,0,0,0,0,1560.0,47,47,46.0
63.0,13072,0.0,941.0,0.0,217.0,1158.0,1158,0,1158,576.0,0,50,0,0,0,0,0,2316.0,15,15,13.0
60.0,7200,0.0,0.0,0.0,530.0,530.0,581,0,1111,288.0,0,0,144,0,0,0,0,1641.0,99,23,84.0
44.0,6442,178.0,24.0,0.0,1346.0,1370.0,1370,0,1370,484.0,120,49,0,0,0,0,0,2740.0,13,13,13.0
50.0,10300,0.0,0.0,0.0,576.0,576.0,902,0,1710,480.0,12,11,64,0,0,0,0,2286.0,98,69,29.0
70.0,9375,573.0,739.0,0.0,318.0,1057.0,1057,0,2034,645.0,576,36,0,0,0,0,0,3091.0,22,21,21.0
76.0,9591,344.0,0.0,0.0,1143.0,1143.0,1143,0,2473,852.0,192,151,0,0,0,0,0,3616.0,15,14,15.0
73.0,19900,287.0,912.0,0.0,1035.0,1947.0,2207,0,2207,576.0,301,0,0,0,0,0,0,4154.0,49,30,49.0
72.0,10665,167.0,1013.0,0.0,440.0,1453.0,1479,0,1479,558.0,144,29,0,0,0,0,0,2932.0,16,16,16.0
47.0,4608,0.0,0.0,0.0,747.0,747.0,747,0,747,220.0,0,0,0,0,0,0,0,1494.0,74,69,74.0
81.0,15593,0.0,603.0,0.0,701.0,1304.0,1304,0,2287,667.0,0,21,114,0,0,0,0,3591.0,66,66,66.0
95.0,13651,1115.0,1880.0,0.0,343.0,2223.0,2223,0,2223,516.0,300,0,0,0,0,0,0,4446.0,46,46,46.0
69.0,7599,0.0,565.0,0.0,280.0,845.0,845,0,845,360.0,0,0,0,0,0,0,0,1690.0,37,13,32.0
74.0,10141,40.0,0.0,0.0,832.0,832.0,885,0,1718,427.0,0,94,0,0,291,0,0,2550.0,21,21,21.0
85.0,10200,104.0,320.0,362.0,404.0,1086.0,1086,0,1086,490.0,0,0,0,0,0,0,0,2172.0,65,16,30.0
60.0,5790,0.0,0.0,0.0,840.0,840.0,840,0,1605,379.0,0,0,202,0,0,0,0,2445.0,104,69,104.0
21.0,1596,0.0,462.0,0.0,0.0,462.0,526,0,988,297.0,120,101,0,0,0,0,0,1450.0,46,46,46.0
73.0,8475,0.0,228.0,0.0,724.0,952.0,952,0,952,283.0,0,0,0,0,0,0,0,1904.0,63,63,63.0
50.0,8635,0.0,336.0,41.0,295.0,672.0,1072,0,1285,240.0,0,0,0,0,0,0,0,1957.0,71,18,71.0
72.0,10778,0.0,0.0,0.0,1768.0,1768.0,1768,0,1768,0.0,0,0,0,0,0,0,0,3536.0,51,51,2019.0
60.0,10440,0.0,0.0,0.0,440.0,440.0,682,0,1230,440.0,74,0,128,0,0,0,0,1670.0,109,38,53.0
100.0,13000,576.0,448.0,0.0,448.0,896.0,1182,0,2142,509.0,0,72,0,0,252,0,0,3038.0,51,51,51.0
32.0,4500,443.0,1201.0,0.0,36.0,1237.0,1337,0,1337,405.0,0,199,0,0,0,0,0,2574.0,21,21,21.0
78.0,10206,468.0,33.0,0.0,1530.0,1563.0,1563,0,1563,758.0,144,99,0,0,0,0,0,3126.0,12,12,12.0
80.0,8892,66.0,0.0,0.0,1065.0,1065.0,1065,0,1065,461.0,74,0,0,0,0,0,0,2130.0,59,59,45.0
64.0,8530,22.0,0.0,0.0,384.0,384.0,804,0,1474,400.0,120,72,0,0,0,0,700,1858.0,24,23,24.0
121.0,16059,284.0,0.0,0.0,1288.0,1288.0,1301,0,2417,462.0,127,82,0,0,0,0,0,3705.0,28,27,28.0
122.0,11911,0.0,0.0,0.0,684.0,684.0,684,0,1560,400.0,100,38,0,0,0,0,0,2244.0,14,14,14.0
40.0,3951,76.0,0.0,0.0,612.0,612.0,612,0,1224,528.0,0,234,0,0,0,0,0,1836.0,10,10,10.0
105.0,8470,0.0,0.0,0.0,1013.0,1013.0,1013,513,1526,0.0,0,0,156,0,0,0,0,2026.0,104,37,2019.0
60.0,8070,0.0,588.0,0.0,402.0,990.0,990,0,990,0.0,0,0,0,0,0,0,0,1980.0,25,24,2019.0
60.0,7200,0.0,0.0,0.0,0.0,0.0,1040,0,1040,420.0,0,29,0,0,0,0,0,1040.0,69,69,69.0
85.0,8500,203.0,600.0,0.0,635.0,1235.0,1235,0,1235,480.0,0,0,0,0,0,0,0,2470.0,58,58,58.0
80.0,13360,0.0,713.0,0.0,163.0,876.0,964,0,964,432.0,0,0,44,0,0,0,0,1840.0,98,13,98.0
60.0,7200,0.0,1046.0,0.0,168.0,1214.0,1260,0,2291,506.0,0,0,0,0,99,0,0,3505.0,109,21,119.0
69.0,9337,0.0,648.0,0.0,176.0,824.0,905,0,1786,684.0,0,162,0,0,0,0,0,2610.0,22,22,22.0
64.0,9765,68.0,310.0,0.0,370.0,680.0,680,0,1470,420.0,232,63,0,0,0,0,480,2150.0,26,26,26.0
78.0,10264,183.0,1162.0,0.0,426.0,1588.0,1588,0,1588,472.0,158,29,0,0,0,0,0,3176.0,20,20,20.0
73.0,10921,48.0,520.0,0.0,440.0,960.0,960,0,960,432.0,120,0,0,0,0,0,0,1920.0,54,54,54.0
85.0,10625,0.0,108.0,0.0,350.0,458.0,835,0,835,366.0,0,0,77,0,0,0,400,1293.0,99,69,99.0
77.0,9320,0.0,569.0,0.0,381.0,950.0,1225,0,1225,0.0,352,0,0,0,0,0,400,2175.0,60,60,2019.0
80.0,10603,28.0,1200.0,0.0,410.0,1610.0,1610,0,1610,480.0,168,68,0,0,0,0,0,3220.0,42,18,42.0
77.0,9206,336.0,0.0,0.0,741.0,741.0,977,0,1732,476.0,192,46,0,0,0,0,0,2473.0,34,34,34.0
64.0,7018,0.0,0.0,0.0,0.0,0.0,1535,0,1535,410.0,0,0,0,0,0,0,0,1535.0,40,40,40.0
94.0,10402,0.0,0.0,0.0,1226.0,1226.0,1226,0,1226,740.0,0,36,0,0,0,0,0,2452.0,10,10,10.0
60.0,7758,600.0,224.0,0.0,816.0,1040.0,1226,0,1818,240.0,0,0,0,0,184,0,0,2858.0,88,69,68.0
75.0,9375,768.0,0.0,0.0,1053.0,1053.0,1053,0,1992,648.0,140,45,0,0,0,0,0,3045.0,16,15,16.0
60.0,10800,0.0,0.0,0.0,641.0,641.0,1047,0,1047,273.0,0,0,0,0,0,0,450,1688.0,134,24,65.0
50.0,6000,0.0,104.0,169.0,516.0,789.0,789,0,789,250.0,0,0,0,0,0,0,0,1578.0,71,69,71.0
85.0,8500,0.0,0.0,0.0,793.0,793.0,997,0,1517,0.0,0,0,144,0,0,0,0,2310.0,100,14,2019.0
105.0,11751,480.0,705.0,0.0,1139.0,1844.0,1844,0,1844,546.0,0,122,0,0,0,0,0,3688.0,42,42,42.0
75.0,9525,0.0,444.0,0.0,550.0,994.0,1216,0,1855,325.0,182,0,0,0,0,0,0,2849.0,65,47,65.0
64.0,7750,0.0,250.0,0.0,134.0,384.0,774,0,1430,400.0,180,0,0,0,0,0,0,1814.0,19,19,19.0
77.0,9965,220.0,984.0,0.0,280.0,1264.0,1282,0,2696,792.0,120,184,0,0,168,0,0,3960.0,12,12,12.0
70.0,21000,184.0,35.0,869.0,905.0,1809.0,2259,0,2259,450.0,166,120,192,0,0,0,0,4068.0,66,66,66.0
61.0,7259,0.0,774.0,150.0,104.0,1028.0,1436,0,2320,180.0,224,0,0,0,0,0,0,3348.0,74,17,74.0
34.0,3230,1129.0,419.0,0.0,310.0,729.0,729,0,1458,440.0,0,32,0,0,0,0,0,2187.0,20,20,20.0
72.0,11616,116.0,170.0,670.0,252.0,1092.0,1092,0,1092,288.0,0,20,144,0,0,0,0,2184.0,57,57,57.0
74.0,8536,0.0,0.0,0.0,1125.0,1125.0,1125,0,1125,430.0,80,64,0,0,0,0,0,2250.0,13,12,12.0
90.0,12376,0.0,1470.0,0.0,203.0,1673.0,1699,0,3222,594.0,367,0,0,0,0,0,0,4895.0,29,29,29.0
65.0,8461,0.0,0.0,0.0,728.0,728.0,728,0,1456,390.0,0,24,0,0,0,0,0,2184.0,14,13,14.0
80.5,21453,0.0,938.0,0.0,0.0,938.0,988,0,988,540.0,0,130,0,130,0,0,0,1926.0,50,50,50.0
50.0,6060,0.0,0.0,0.0,732.0,732.0,772,0,1123,264.0,0,0,140,0,0,0,0,1855.0,80,69,40.0
75.0,9464,135.0,570.0,0.0,510.0,1080.0,1080,0,1080,288.0,0,0,0,0,130,0,0,2160.0,61,61,61.0
55.0,7892,0.0,300.0,0.0,899.0,1199.0,1199,0,1199,530.0,0,63,0,0,0,0,0,2398.0,26,26,26.0
48.0,17043,0.0,0.0,0.0,1362.0,1362.0,1586,0,1586,435.0,192,0,0,0,0,0,0,2948.0,40,21,40.0
60.0,6780,0.0,490.0,0.0,30.0,520.0,520,234,754,0.0,53,0,0,0,0,0,0,1040.0,84,37,2019.0
24.0,4928,0.0,120.0,0.0,958.0,1078.0,958,0,958,440.0,0,205,0,0,0,0,0,2036.0,43,43,42.0
55.0,4388,0.0,116.0,0.0,556.0,672.0,840,0,840,0.0,0,0,0,0,0,0,0,1512.0,89,69,2019.0
69.0,7590,266.0,512.0,0.0,148.0,660.0,660,0,1348,453.0,188,108,0,0,0,0,0,2008.0,53,53,53.0
69.0,8973,85.0,567.0,28.0,413.0,1008.0,1053,0,1053,750.0,0,80,0,180,0,0,0,2061.0,61,28,21.0
88.0,14200,309.0,445.0,0.0,479.0,924.0,1216,0,2157,487.0,105,66,0,0,0,0,0,3081.0,53,53,53.0
64.0,12224,40.0,695.0,0.0,297.0,992.0,1022,0,2054,390.0,24,48,0,0,0,0,0,3046.0,19,19,19.0
75.0,7388,0.0,405.0,0.0,658.0,1063.0,1327,0,1327,624.0,0,0,0,0,0,0,0,2390.0,60,17,45.0
82.0,6853,136.0,1005.0,0.0,262.0,1267.0,1296,0,1296,471.0,192,25,0,0,0,0,0,2563.0,18,17,18.0
78.0,10335,0.0,570.0,0.0,891.0,1461.0,1721,0,1721,440.0,0,96,180,0,0,0,0,3182.0,51,26,51.0
80.0,10400,288.0,0.0,0.0,1304.0,1304.0,1682,0,1682,530.0,98,0,0,0,0,0,0,2986.0,49,49,49.0
73.0,10355,196.0,695.0,0.0,519.0,1214.0,1214,0,1214,318.0,0,111,0,0,0,0,0,2428.0,52,52,52.0
82.0,11070,70.0,0.0,0.0,1907.0,1907.0,1959,0,1959,766.0,0,0,0,0,0,0,0,3866.0,31,30,30.0
73.0,9066,320.0,668.0,0.0,336.0,1004.0,1004,0,1852,660.0,224,106,0,0,0,0,0,2856.0,20,19,20.0
65.0,15426,0.0,821.0,0.0,107.0,928.0,928,0,1764,470.0,276,99,0,0,0,0,0,2692.0,22,22,22.0
70.0,10500,0.0,432.0,0.0,432.0,864.0,864,0,864,0.0,0,0,0,0,0,0,0,1728.0,48,48,2019.0
78.0,11645,0.0,1300.0,0.0,434.0,1734.0,1734,0,1734,660.0,160,24,0,0,0,0,0,3468.0,14,14,14.0
71.0,8520,0.0,507.0,0.0,403.0,910.0,910,0,1385,720.0,0,0,0,0,0,0,0,2295.0,67,67,19.0
78.0,10335,183.0,679.0,0.0,811.0,1490.0,1501,0,1501,577.0,144,29,0,0,0,0,0,2991.0,20,20,20.0
70.0,9100,336.0,1332.0,0.0,396.0,1728.0,1728,0,1728,504.0,0,0,0,0,0,0,0,3456.0,56,56,56.0
24.0,2522,50.0,0.0,0.0,970.0,970.0,970,0,1709,380.0,0,40,0,0,0,0,0,2679.0,15,13,15.0
51.0,6120,0.0,209.0,0.0,506.0,715.0,875,0,875,180.0,48,0,0,0,0,0,0,1590.0,88,26,88.0
64.0,9505,180.0,0.0,0.0,884.0,884.0,884,0,2035,434.0,144,48,0,0,0,0,0,2919.0,18,18,18.0
63.0,7500,120.0,680.0,0.0,400.0,1080.0,1080,0,1080,0.0,0,0,0,0,0,0,0,2160.0,15,14,2019.0
51.0,6240,0.0,0.0,0.0,896.0,896.0,896,0,1344,240.0,200,114,0,0,0,0,0,2240.0,83,69,83.0
120.0,10356,0.0,716.0,0.0,253.0,969.0,969,0,969,440.0,0,0,0,0,0,0,0,1938.0,44,44,44.0
107.0,13891,436.0,1400.0,0.0,310.0,1710.0,1710,0,1710,866.0,0,102,0,0,0,0,0,3420.0,12,11,12.0
80.0,14803,252.0,416.0,0.0,409.0,825.0,1097,0,1993,495.0,0,66,0,0,0,0,0,2818.0,48,48,48.0
80.5,13500,0.0,429.0,1080.0,93.0,1602.0,1252,0,1252,564.0,409,0,0,0,0,0,0,2854.0,59,44,59.0
84.0,11340,0.0,0.0,0.0,1200.0,1200.0,1200,0,1200,312.0,0,0,228,0,0,0,0,2400.0,96,69,96.0
60.0,9600,0.0,0.0,0.0,572.0,572.0,572,0,1096,0.0,0,8,128,0,0,0,0,1668.0,95,69,2019.0
60.0,7200,0.0,0.0,0.0,0.0,0.0,1040,0,1040,625.0,0,0,0,0,0,0,0,1040.0,69,69,69.0
92.0,12003,84.0,0.0,0.0,774.0,774.0,774,0,1968,680.0,0,75,0,0,0,0,0,2742.0,10,9,10.0
100.0,12552,0.0,222.0,0.0,769.0,991.0,991,0,1947,678.0,0,136,0,0,0,0,0,2938.0,15,14,15.0
134.0,19378,456.0,57.0,0.0,1335.0,1392.0,1392,0,2462,576.0,239,132,0,168,0,0,0,3854.0,14,13,13.0
80.0,11120,0.0,660.0,0.0,572.0,1232.0,1232,0,1232,516.0,0,0,0,0,0,0,0,2464.0,35,35,35.0
110.0,13688,664.0,1016.0,0.0,556.0,1572.0,1572,0,2668,726.0,400,0,0,0,0,0,0,4240.0,16,15,16.0
95.0,12182,226.0,1201.0,0.0,340.0,1541.0,1541,0,1541,532.0,0,70,0,0,0,0,0,3082.0,14,14,14.0
55.0,5500,0.0,0.0,0.0,882.0,882.0,882,0,882,0.0,0,0,0,0,0,0,0,1764.0,63,63,2019.0
40.0,5400,0.0,370.0,0.0,779.0,1149.0,1149,0,1616,216.0,0,0,183,0,0,0,0,2765.0,93,15,93.0
62.0,10106,0.0,351.0,181.0,112.0,644.0,808,0,1355,0.0,140,0,0,0,0,0,0,1999.0,79,20,2019.0
80.5,10708,0.0,379.0,768.0,470.0,1617.0,1867,0,1867,303.0,476,0,0,0,142,0,0,3484.0,64,26,64.0
86.0,10562,300.0,1288.0,0.0,294.0,1582.0,1610,0,2161,789.0,178,120,0,0,0,0,0,3743.0,12,12,12.0
62.0,8244,0.0,0.0,0.0,840.0,840.0,840,0,1720,440.0,100,48,0,0,0,0,0,2560.0,15,15,15.0
82.0,16669,653.0,0.0,0.0,1686.0,1686.0,1707,0,1707,511.0,574,64,0,0,0,0,0,3393.0,38,38,38.0
60.0,12358,0.0,360.0,0.0,360.0,720.0,854,528,1382,660.0,237,0,0,0,0,0,0,1574.0,78,69,28.0
141.0,31770,112.0,639.0,0.0,441.0,1080.0,1656,0,1656,528.0,210,62,0,0,0,0,0,2736.0,59,59,59.0
44.0,5306,0.0,495.0,215.0,354.0,1064.0,1064,0,1767,504.0,441,35,0,0,0,0,0,2831.0,32,32,32.0
80.0,10197,491.0,288.0,374.0,700.0,1362.0,1362,0,1362,504.0,0,20,0,0,0,0,0,2724.0,58,58,58.0
47.0,12416,132.0,1398.0,208.0,0.0,1606.0,1651,0,1651,616.0,192,0,0,0,0,0,0,3257.0,33,33,33.0
84.0,12615,0.0,477.0,0.0,725.0,1202.0,2158,0,2158,576.0,0,29,39,0,0,0,0,3360.0,69,18,69.0
97.0,10029,268.0,831.0,0.0,320.0,1151.0,1164,0,2060,521.0,0,228,0,0,192,0,0,3211.0,31,30,31.0
72.0,13650,0.0,57.0,441.0,554.0,1052.0,1252,0,1920,451.0,0,0,0,0,0,0,0,2972.0,61,61,61.0
63.0,17423,748.0,1904.0,0.0,312.0,2216.0,2234,0,2234,1166.0,0,60,0,0,0,0,0,4450.0,11,10,10.0
60.0,8520,0.0,0.0,0.0,968.0,968.0,968,0,968,480.0,0,0,184,0,0,0,0,1936.0,96,13,84.0
72.5,2117,456.0,436.0,0.0,320.0,756.0,769,0,1525,440.0,0,0,0,0,0,0,0,2281.0,19,19,19.0
54.0,7588,0.0,352.0,0.0,441.0,793.0,901,0,1802,216.0,0,0,40,0,0,0,0,2595.0,99,69,99.0
60.0,9060,98.0,0.0,0.0,0.0,0.0,1340,0,1340,252.0,116,0,0,180,0,0,0,1340.0,62,13,62.0
63.0,11426,0.0,0.0,0.0,1362.0,1362.0,1362,0,2082,484.0,280,238,0,0,0,0,0,3444.0,16,16,16.0
92.0,7438,0.0,0.0,0.0,504.0,504.0,936,0,1252,576.0,104,0,0,0,0,0,0,1756.0,111,28,33.0
90.0,22950,0.0,0.0,0.0,1107.0,1107.0,1518,572,3608,840.0,0,260,0,0,410,0,0,4143.0,127,26,26.0
74.0,9947,0.0,611.0,0.0,577.0,1188.0,1217,0,1217,497.0,168,27,0,0,0,0,0,2405.0,29,28,29.0
60.0,10410,0.0,0.0,0.0,660.0,660.0,808,144,1656,180.0,0,0,0,140,0,0,0,2172.0,103,32,103.0
64.0,7018,275.0,1086.0,0.0,0.0,1086.0,1224,0,1224,528.0,120,0,0,0,0,0,0,2310.0,40,40,40.0
41.0,4923,0.0,1153.0,0.0,440.0,1593.0,1593,0,1593,682.0,0,120,0,0,224,0,0,3186.0,18,17,18.0
70.0,10570,0.0,297.0,0.0,556.0,853.0,1549,0,2727,440.0,0,74,0,0,0,0,0,3580.0,87,25,87.0
73.0,7472,138.0,626.0,0.0,99.0,725.0,725,0,1479,484.0,0,32,0,0,0,0,0,2204.0,47,15,47.0
68.0,9017,0.0,560.0,0.0,871.0,1431.0,1431,0,1431,666.0,0,35,0,0,0,0,0,2862.0,20,20,20.0
24.0,2522,50.0,0.0,0.0,970.0,970.0,970,0,1709,380.0,0,40,0,0,0,0,0,2679.0,15,15,15.0
60.0,7180,0.0,390.0,0.0,474.0,864.0,864,0,864,352.0,0,0,0,0,0,0,0,1728.0,47,47,30.0
24.0,2280,0.0,566.0,0.0,289.0,855.0,855,0,1456,440.0,87,0,0,0,0,0,0,2311.0,43,43,43.0
79.0,9416,205.0,1126.0,0.0,600.0,1726.0,1726,0,1726,786.0,171,138,0,0,266,0,0,3452.0,12,12,12.0
174.0,25419,0.0,1036.0,184.0,140.0,1360.0,1360,392,3112,795.0,0,16,552,0,0,512,0,4080.0,101,29,101.0
92.0,5520,0.0,0.0,0.0,755.0,755.0,929,371,2229,0.0,0,198,30,0,0,0,0,2613.0,107,69,2019.0
76.0,9591,262.0,1088.0,0.0,625.0,1713.0,1713,0,1713,856.0,0,26,0,0,170,0,0,3426.0,15,14,15.0
80.0,8546,0.0,0.0,0.0,1121.0,1121.0,1121,0,1121,440.0,132,64,0,0,0,0,0,2242.0,16,15,16.0
75.0,10125,0.0,641.0,279.0,276.0,1196.0,1279,0,1279,473.0,238,83,0,0,0,0,0,2475.0,42,42,39.0
50.0,7000,0.0,617.0,0.0,0.0,617.0,865,0,1310,398.0,0,0,126,0,0,0,0,1927.0,95,69,95.0
70.0,4438,205.0,662.0,0.0,186.0,848.0,848,0,848,420.0,149,0,0,0,0,0,0,1696.0,15,15,15.0
50.0,3500,0.0,312.0,0.0,408.0,720.0,720,0,1284,240.0,0,35,0,0,0,0,0,2004.0,72,69,71.0
